2theta,intensity
13.69533457,101
13.71559966,72
13.73586474,71
13.75612983,82
13.77639492,78
13.79666001,52
13.8169251,79
13.83719019,78
13.85745528,81
13.87772037,66
13.89798545,54
13.91825054,84
13.93851563,58
13.95878072,83
13.97904581,73
13.9993109,78
14.01957599,76
14.03984108,72
14.06010616,69
14.08037125,70
14.10063634,76
14.12090143,68
14.14116652,82
14.16143161,67
14.1816967,65
14.20196178,73
14.22222687,74
14.24249196,76
14.26275705,63
14.28302214,75
14.30328723,83
14.32355232,82
14.34381741,69
14.36408249,67
14.38434758,91
14.40461267,63
14.42487776,82
14.44514285,76
14.46540794,74
14.48567303,83
14.50593812,79
14.5262032,79
14.54646829,69
14.56673338,70
14.58699847,75
14.60726356,69
14.62752865,67
14.64779374,72
14.66805882,94
14.68832391,77
14.708589,72
14.72885409,69
14.74911918,85
14.76938427,74
14.78964936,70
14.80991445,68
14.83017953,68
14.85044462,76
14.87070971,67
14.8909748,91
14.91123989,73
14.93150498,78
14.95177007,92
14.97203516,101
14.99230024,106
15.01256533,97
15.03283042,128
15.05309551,121
15.0733606,130
15.09362569,140
15.11389078,126
15.13415587,160
15.15442095,204
15.17468604,175
15.19495113,167
15.21521622,199
15.23548131,217
15.2557464,221
15.27601149,227
15.29627657,289
15.31654166,254
15.33680675,300
15.35707184,258
15.37733693,251
15.39760202,226
15.41786711,229
15.4381322,201
15.45839728,205
15.47866237,204
15.49892746,178
15.51919255,158
15.53945764,193
15.55972273,192
15.57998782,172
15.60025291,185
15.62051799,169
15.64078308,159
15.66104817,158
15.68131326,155
15.70157835,132
15.72184344,114
15.74210853,122
15.76237361,134
15.7826387,101
15.80290379,119
15.82316888,109
15.84343397,101
15.86369906,99
15.88396415,108
15.90422924,98
15.92449432,97
15.94475941,109
15.9650245,109
15.98528959,100
16.00555468,105
16.02581977,95
16.04608486,111
16.06634995,114
16.08661503,91
16.10688012,103
16.12714521,96
16.1474103,97
16.16767539,88
16.18794048,109
16.20820557,118
16.22847065,97
16.24873574,94
16.26900083,93
16.28926592,71
16.30953101,90
16.3297961,80
16.35006119,71
16.37032628,80
16.39059136,84
16.41085645,91
16.43112154,73
16.45138663,102
16.47165172,79
16.49191681,70
16.5121819,69
16.53244699,56
16.55271207,81
16.57297716,89
16.59324225,69
16.61350734,56
16.63377243,66
16.65403752,60
16.67430261,76
16.69456769,71
16.71483278,66
16.73509787,67
16.75536296,66
16.77562805,51
16.79589314,51
16.81615823,57
16.83642332,70
16.8566884,55
16.87695349,52
16.89721858,58
16.91748367,54
16.93774876,67
16.95801385,58
16.97827894,63
16.99854403,69
17.01880911,64
17.0390742,69
17.05933929,58
17.07960438,50
17.09986947,59
17.12013456,67
17.14039965,90
17.16066474,52
17.18092982,80
17.20119491,57
17.22146,70
17.24172509,67
17.26199018,86
17.28225527,65
17.30252036,56
17.32278544,68
17.34305053,64
17.36331562,65
17.38358071,73
17.4038458,69
17.42411089,59
17.44437598,65
17.46464107,83
17.48490615,63
17.50517124,73
17.52543633,80
17.54570142,68
17.56596651,87
17.5862316,68
17.60649669,80
17.62676178,89
17.64702686,73
17.66729195,82
17.68755704,81
17.70782213,87
17.72808722,96
17.74835231,98
17.7686174,77
17.78888248,99
17.80914757,100
17.82941266,118
17.84967775,122
17.86994284,131
17.89020793,125
17.91047302,147
17.93073811,141
17.95100319,158
17.97126828,154
17.99153337,162
18.01179846,158
18.03206355,178
18.05232864,162
18.07259373,143
18.09285882,169
18.1131239,113
18.13338899,131
18.15365408,113
18.17391917,99
18.19418426,117
18.21444935,81
18.23471444,87
18.25497952,96
18.27524461,69
18.2955097,72
18.31577479,82
18.33603988,87
18.35630497,64
18.37657006,62
18.39683515,62
18.41710023,66
18.43736532,77
18.45763041,74
18.4778955,85
18.49816059,79
18.51842568,56
18.53869077,59
18.55895586,66
18.57922094,49
18.59948603,49
18.61975112,50
18.64001621,72
18.6602813,55
18.68054639,57
18.70081148,59
18.72107656,71
18.74134165,62
18.76160674,73
18.78187183,61
18.80213692,58
18.82240201,62
18.8426671,56
18.86293219,58
18.88319727,53
18.90346236,81
18.92372745,72
18.94399254,73
18.96425763,66
18.98452272,82
19.00478781,83
19.0250529,71
19.04531798,62
19.06558307,71
19.08584816,82
19.10611325,70
19.12637834,67
19.14664343,47
19.16690852,72
19.18717361,83
19.20743869,83
19.22770378,78
19.24796887,71
19.26823396,76
19.28849905,66
19.30876414,68
19.32902923,53
19.34929431,76
19.3695594,81
19.38982449,68
19.41008958,64
19.43035467,69
19.45061976,71
19.47088485,60
19.49114994,74
19.51141502,65
19.53168011,77
19.5519452,85
19.57221029,67
19.59247538,84
19.61274047,78
19.63300556,88
19.65327065,105
19.67353573,62
19.69380082,76
19.71406591,73
19.734331,67
19.75459609,55
19.77486118,70
19.79512627,73
19.81539135,93
19.83565644,80
19.85592153,105
19.87618662,85
19.89645171,89
19.9167168,101
19.93698189,90
19.95724698,100
19.97751206,88
19.99777715,81
20.01804224,97
20.03830733,73
