2theta,Intensity 
34.38599,78
34.406255,97
34.42652,89
34.446785,94
34.46705,87
34.487316,88
34.507581,98
34.527846,76
34.548111,103
34.568376,95
34.588641,86
34.608906,85
34.629171,88
34.649436,70
34.669701,86
34.689966,81
34.710232,95
34.730497,78
34.750762,94
34.771027,80
34.791292,92
34.811557,100
34.831822,91
34.852087,86
34.872352,95
34.892617,96
34.912882,88
34.933148,73
34.953413,97
34.973678,86
34.993943,104
35.014208,121
35.034473,115
35.054738,92
35.075003,106
35.095268,95
35.115533,114
35.135798,91
35.156064,129
35.176329,113
35.196594,108
35.216859,126
35.237124,118
35.257389,140
35.277654,142
35.297919,141
35.318184,168
35.338449,160
35.358714,186
35.378979,227
35.399245,210
35.41951,231
35.439775,226
35.46004,273
35.480305,279
35.50057,295
35.520835,328
35.5411,417
35.561365,446
35.58163,570
35.601895,698
35.622161,849
35.642426,1069
35.662691,1242
35.682956,1627
35.703221,2183
35.723486,2697
35.743751,3061
35.764016,3300
35.784281,3338
35.804546,3086
35.824811,2582
35.845077,2368
35.865342,2000
35.885607,1683
35.905872,1301
35.926137,983
35.946402,803
35.966667,583
35.986932,500
36.007197,422
36.027462,363
36.047727,331
36.067992,308
36.088258,284
36.108523,219
36.128788,224
36.149053,195
36.169318,189
36.189583,154
36.209848,175
36.230113,139
36.250378,149
36.270643,119
36.290908,104
36.311174,116
36.331439,99
36.351704,105
36.371969,96
36.392234,99
36.412499,101
36.432764,81
36.453029,89
36.473294,92
36.493559,87
36.513824,92
36.53409,73
36.554355,68
36.57462,83
36.594885,88
36.61515,76
36.635415,78
36.65568,72
36.675945,58
36.69621,89
36.716475,61
36.73674,75
36.757006,63
36.777271,72
36.797536,77
36.817801,73
36.838066,66
36.858331,67
36.878596,75
36.898861,76
36.919126,71
36.939391,71
36.959656,52
36.979921,79
37.000187,66
37.020452,70
37.040717,76
37.060982,55
37.081247,57
37.101512,78
37.121777,40
37.142042,63
37.162307,68
37.182572,49
37.202837,75
37.223103,44
37.243368,59
37.263633,43
37.283898,46
37.304163,49
37.324428,48
37.344693,54
37.364958,37
37.385223,49
37.405488,42
37.425753,50
37.446019,56
37.466284,61
37.486549,46
37.506814,53
37.527079,60
37.547344,48
37.567609,55
37.587874,56
37.608139,50
37.628404,38
37.648669,45
37.668934,46
37.6892,46
37.709465,51
37.72973,58
37.749995,44
37.77026,47
37.790525,54
37.81079,43
37.831055,41
37.85132,41
37.871585,48
37.89185,39
37.912116,26
37.932381,40
37.952646,51
37.972911,42
37.993176,47
38.013441,40
38.033706,52
38.053971,40
38.074236,52
38.094501,33
38.114766,53
38.135032,50
38.155297,34
38.175562,49
38.195827,45
38.216092,44
38.236357,48
38.256622,53
38.276887,46
38.297152,30
38.317417,45
38.337682,39
38.357948,31
38.378213,45
38.398478,51
38.418743,43
38.439008,40
38.459273,32
38.479538,40
38.499803,50
38.520068,52
38.540333,57
38.560598,35
38.580863,31
38.601129,45
38.621394,50
38.641659,52
38.661924,52
38.682189,45
38.702454,40
38.722719,42
38.742984,45
38.763249,44
38.783514,45
38.803779,57
38.824045,51
38.84431,53
38.864575,39
38.88484,47
38.905105,55
38.92537,33
38.945635,44
38.9659,43
38.986165,34
39.00643,50
39.026695,36
39.046961,47
39.067226,55
39.087491,47
39.107756,47
39.128021,58
39.148286,56
39.168551,58
39.188816,55
39.209081,65
39.229346,73
39.249611,80
39.269877,59
39.290142,87
39.310407,85
39.330672,96
39.350937,85
39.371202,89
39.391467,119
39.411732,119
39.431997,99
39.452262,108
39.472527,74
39.492792,82
39.513058,82
39.533323,65
39.553588,76
39.573853,67
39.594118,62
39.614383,64
39.634648,55
39.654913,51
39.675178,44
39.695443,59
39.715708,53
39.735974,51
39.756239,53
39.776504,39
39.796769,62
39.817034,60
39.837299,49
39.857564,47
39.877829,40
39.898094,48
39.918359,48
39.938624,34
39.95889,48
39.979155,34
39.99942,33
40.019685,46
40.03995,43
40.060215,54
40.08048,62
40.100745,44
40.12101,41
40.141275,60
40.16154,58
40.181805,45
40.202071,53
40.222336,54
40.242601,41
40.262866,38
40.283131,50
40.303396,51
40.323661,58
40.343926,60
40.364191,56
40.384456,64
40.404721,65
40.424987,56
40.445252,55
40.465517,64
40.485782,66
40.506047,56
40.526312,73
40.546577,87
40.566842,81
40.587107,79
40.607372,78
40.627637,96
40.647903,88
40.668168,108
40.688433,123
40.708698,123
40.728963,129
40.749228,146
40.769493,173
40.789758,197
40.810023,201
40.830288,261
40.850553,281
40.870819,378
40.891084,457
40.911349,549
40.931614,729
40.951879,896
40.972144,943
40.992409,971
41.012674,959
41.032939,929
41.053204,815
41.073469,766
41.093734,646
41.114,626
41.134265,487
41.15453,381
41.174795,314
41.19506,219
41.215325,219
41.23559,194
41.255855,162
41.27612,144
41.296385,106
41.31665,125
41.336916,103
41.357181,112
41.377446,80
41.397711,80
41.417976,71
41.438241,69
41.458506,70
41.478771,57
41.499036,57
41.519301,59
41.539566,52
41.559832,58
41.580097,56
41.600362,54
41.620627,61
41.640892,50
41.661157,61
41.681422,49
41.701687,47
41.721952,54
41.742217,39
41.762482,65
41.782748,43
41.803013,42
41.823278,53
41.843543,52
41.863808,44
41.884073,59
41.904338,39
41.924603,46
41.944868,48
41.965133,48
41.985398,52
42.005663,34
42.025929,30
42.046194,41
42.066459,45
42.086724,37
42.106989,38
42.127254,40
42.147519,41
42.167784,48
42.188049,35
42.208314,49
42.228579,44
42.248845,43
42.26911,43
42.289375,48
42.30964,34
42.329905,31
42.35017,37
42.370435,42
42.3907,46
42.410965,37
42.43123,47
42.451495,41
42.471761,35
42.492026,31
42.512291,39
42.532556,47
42.552821,49
42.573086,46
42.593351,28
42.613616,28
42.633881,41
42.654146,33
42.674411,51
42.694676,34
42.714942,38
42.735207,39
42.755472,36
42.775737,39
42.796002,36
42.816267,35
42.836532,37
42.856797,36
42.877062,42
42.897327,38
42.917592,42
42.937858,40
42.958123,31
42.978388,26
42.998653,36
43.018918,38
43.039183,51
43.059448,41
43.079713,51
43.099978,40
43.120243,40
43.140508,34
43.160774,29
43.181039,45
43.201304,34
43.221569,40
43.241834,39
43.262099,44
43.282364,39
43.302629,37
43.322894,44
43.343159,44
43.363424,55
43.38369,46
43.403955,48
43.42422,45
43.444485,61
43.46475,45
43.485015,55
43.50528,58
43.525545,58
43.54581,77
43.566075,83
43.58634,90
43.606605,108
43.626871,113
43.647136,105
43.667401,92
43.687666,104
43.707931,89
43.728196,72
43.748461,81
43.768726,74
43.788991,68
43.809256,69
43.829521,61
43.849787,49
43.870052,42
43.890317,44
43.910582,45
43.930847,47
43.951112,35
43.971377,46
43.991642,44
44.011907,40
44.032172,51
44.052437,39
44.072703,41
44.092968,40
44.113233,39
44.133498,37
44.153763,30
44.174028,34
44.194293,38
44.214558,43
44.234823,46
44.255088,32
44.275353,33
44.295619,38
